comment_text,Matches_isin_str
"Die Politik der Administration Trump war in der Tat nicht schlecht (Friedensinitiative Nahost, Handelspolitik, Wirtschaftspolitik vor Corona,...), aber diese polemisierende Art spaltet zu sehr das Land.",alte
"@USER genau deswegen haben wir Snowden oder Assange auch Asyl gewährt! Sobald es Russlandfeindlich ist, sind die Arme der deutschenh Politiker offen :)",feind
"In dieser Sachlage darf man die Aussage von George Friedman definitv nicht außer Acht zu lassen: ""Für die Vereinigten Staaten ist es das Hauptziel, dass deutsches Kapital und deutsche Technologien und die russischen Rohstoff-Ressourcen und die russische Arbeitskraft sich zu einer einzigartigen Kombination verbinden, die die USA seit einem Jahrhundert zu verhindern versuchen."" Bühnenauftritt u.a. auf Youtube: George Friedman @The Chicago Council on Global Affairs 2015 Nochmal: ""die die USA seit einem Jahrhundert zu verhindern versuchen."" Hier werden Think-Tanks bezahlt, um eben genau dies zu verhindern. Da sitzen Leute, die sich den ganzen Tag lang über nichts anderes Gedanken machen als einen Keil zwischen die deutsch-russischen Beziehungen zu treiben. Bzw. Strategien dafür auszuarbeiten. Und das ist nicht unbekannt aber aus der deutschen Regierung hat beinahe niemand den Mut dies anzusprechen. Hier steckt sehr viel Geld, Macht und geostrategische Interessen hinter. Glaubt hier ernsthaft irgendjemand, dass dass alles treu gesetzeskonform und gewaltfrei abläuft? Putin war jahrlang selbst beim Geheimdienst. Ihm so eine Navalny-Dummheit pauschal zu unterstellen ist schon beinahe als äußerst naiv zu bewerten. Diese perfide Art, wie seit Jahren gegen Russland gehetzt wird, ist äußerst befremdlich. Und ja, natürlich steckt da eine Strategie dahinter. Wer das noch nicht erkannt hat, sollte dann langsam doch mal anfangen sich zu informieren.","dumm, dummheit, hetzt, hund, hunde, naiv"
"Tzz, tzz, tzz.... Ich sehe hingegen mehr U60, die sich nicht an die Maßnahmen halten (wollen). Wohl sehr regional und klar subjektiv zu bewerten.","alte, olle, ollen"
Nein vielen Dank ich stehe mit Corona auf und wenn ich ins Bett gehe will ich weder den Namen Corona noch Trump hören da wird mir schlecht 🤮,🤮
Man meckert über Trump wie schlecht er doch ist und wegen Corona - Hier wird Panik verbreitet alles ganz schlimm - Reisen soll man unterlassen aber die Grenzen sind immer noch offen? Wo es doch in den Nachbarländern ganz schlimm ist? Da kann jeder alles einschleppen an Corona? Die rein und raus fahren denen kann man nicht ansehen ob sie einen Virus haben. Trump ist erfrischend und macht Mut - nicht wie bei uns wo man jeden Tag nur Ängste schürt und man bald sterben könnte wenn man nicht brav ist.. Gruselig - etwas Mut braucht der Mensch.,schlimm
"@USER Dass es schon immer so war, ist erwiesenermaßen falsch. Als die Demokraten noch für Sklaverei eintraten, waren die Republikaner für die Abschaffung dieser. Erst mit Harding als Präsident wandelten sich die Republikaner zu einer konservativen Partei.",sklave
"@USER Danke, das geht mir jetzt aber runter wie Öl. Diese Geschichte beschäftigt mich schon seit 1968. Damals als Marine-Soldat hatte ich die Aufgabe, einen 2 stündigen Vortrag über die Situation der Afroamerikaner zu halten. Nach langer Vorbereitung und großem Erfolg des Vortrags hat mich dieses Thema bis jetzt, nie mehr losgelassen.",alte
"Trump sagt ""america first"" und handelt danach. Deutsche Präsidenten und Kanzler*innen schwören:„Ich schwöre, dass ich meine Kraft dem Wohle des deutschen Volkes widmen, seinen Nutzen mehren, Schaden von ihm wenden, das Grundgesetz und die Gesetze des Bundes wahren und verteidigen, meine Pflichten gewissenhaft erfüllen und Gerechtigkeit gegen jedermann üben werde. So wahr mir Gott helfe.“ haben diese Wort aber schon vergessen, wenn sie den Plenarsaal verlassen. In den letzten 10 Jahren flossen mehr als 100 Mrd. € netto deutsche Steuergelder an die EU nach Corona sollen wieder netto über 90 Mrd. € deutsche Steuergelder an bedürftige Mitgliedsstaaten der EU fließen, ohne dass diese eigene Resourcen angegriffen haben. Z.B. Lastenausgleich.","olle, ollen, schaden"
"@USER falsch. Ein Jahr im Leben eines Menschen ist ein Jahr im Leben eines Menschen. Niemand weiß, wieviel Lebenszeit einem noch bleibt, vielleicht stirbt der 20-jahrige noch vor Ihnen. Ich weiß nicht, woher die älteren Leute die Arroganz nehmen und glauben, ihre Lebenszeit wäre mehr wert als die der jungen Leute. Die jungen Leute trifft es halt nur zu einem früheren Zeitpunkt im Leben.",arroganz
@USER die Sowjets haben es doch über Jahrzehnte in Deutschland probiert. Der Ausgang des ganzen ist eher traurig für die betroffenen Regionen. Der Fortschritt passierte im Westen. Und den Osten bauen wir seit der Wiedervereinigung auf. Hätten die Russen doch damals ihre tollen Rohstoffe bloß genutzt. ;),"assi, olle, ollen"
"#@MEDIUM Bis auf Karl Lauterbach versteht kein Diskussionsteilnehmer die Tücke von Covid19: Die Schnelligkeit des Infektionsgeschehens und die Langsamkeit des Meldegeschehens. Die anderen beziehen sich auf aktuelle Zahlen und wissen nicht, dass diese Zahlen längst veraltet sind. Es ist bedauerlich, dass das Verständnis für die Dynamik eines sich erst mit Verzögerung offenbarenden Infektionsgeschehens so wenig verbreitet ist.",alte
@USER falls es nicht aufgefallen sein sollte. Herr Lauterbach ist nicht für Schulen zuständig. Er hat lediglich die Möglichkeit mobiler Lüftungsanlagen ins Gespräch gebracht. Was ist daran falsch? Wären erneute Schulschließungen lieber? Wohl kaum,mob
"@USER E-Mobilität hört sich gut an, aber es müssen dann auch die Batterien umweltfreundlich entsorgt werden und das funktioniert noch nicht","entsorgt, mob"
"Deutschland befindet sich gerade in Hypnose - im Coronafieber - im Gegenteil zu den USA. Trump zu sehen ist einfach erfrischend, er macht Mut und macht keine Angst wie sie uns jeden Tag eingeflößt wird und wie viel schlimmer alles kommen kann? Vielleicht wird es aber gar nicht so schlimm? Zumindest hat er gehalten was er versprochen hat, das muss man ihm lassen.","alte, schlimm"
"Die gravierenden Folgen einer Erkrankung werden verharmlost, die geringen Risiken einer Impfung aufgebauscht. Seltene Nebenwirkungen sehe ich eben erst, wenn ich Millionen geimpft und längere Zeit nachbeobachtet habe. Wie soll das anders gehen?",krank
"@USER ja kann man wenn einem nur das Geld wichtig ist. Dann kann man mit jeden zusammen arbeiten und schaut eben bei Mord auch mal weg, so wie es die CDU tut. Es ist eben die Frage wollen wir das als Gesellschaft auch. Ich sage klar Nein. Gerade als Deutsche sollten wir Moral zu schätzen wissen. Egal in welchem Land 🙄✌️","esel, mord, olle, ollen, 🙄"
Man muss im Bezug Veranstaltung abwägen. Entweder da alles lahmlegen und es wird einige in der Veranstaltungsbranche pleite gehen. Oder hilft man der Veranstaltungsbranche genauso wie der luftfahrt und Autoindustrie? Sonst gibt es in diesen Bereich nächstes Jahr einige Pleiten und arbeitslose. Oder man gibt zumindest Veranstaltungen unter Bedingungen frei. Damit wenigstens einige noch den schaden begrenzen können. Ich erwarte da an Bereich noch ein paar Antworten aus der Politik. Für mich als jemand der im Veranstaltungsbereich arbeitet und momentan auf Kurzarbeit ist.,schaden
"@USER , Für Diejenigen, die sich impfen lassen wollen.","olle, ollen"
Sie durfte / konnte leider nicht so viel sagen.. Lag am Weinberg😉.. Hat auch einen super tollen Akzent sehr sympathisch ✌️,"olle, ollen"
"@USER da haben wir etwas gemeinsam, meine Mutter erzählte mir mal, dass sie das Rezept schon hatte, aber nichts genommen hat 🍀",mutter
"Welche grösste Opposition klein halten? Und ich wette mal, dass sie beim ""niederknüppeln"" von linken Demos kein Problem haben? Und welches Problem haben Sie mit der Wahl in Thüringen?","alte, knüppel, linke"
@USER wie soll Schwachsinn helfen ?,schwachsinn
@USER😂,😂
https://www.welt.de/gesundheit/article143404030/Narkolepsie-durch-Schweinegrippe-Impfung.html,"schwein, schweine"
"@USER Über 220000 Tote in den USA sprechen ja wohl für sich ... Ich sehe darin absolut nichts ""erfrischendes"" ...",tot
Stimmt. Die USA ähneln in vielen Dingen viel mehr einer Oligarchie. Das fängt schon beinm Electorial College an.,olle
@USER ich bilde mir meine Meinung durch Fakten und Argumente. Es gibt z.b die App Electricity Map. Dort kann man sehen das Sie hier Blödsinn verbreiten. Gibt auch beim Fraunhofer Institut hervorragende Ausarbeitungen. Aber dafür muss man sich mit dem Thema wirklich auseinander setzen.,"blöd, blödsinn"
"Für Europa wird sich nichts ändern, die alten Männer und die Sümpfe hinter ihnen wird die „America First“ Politik fortführen. Europa sollte endlich zusammenrücken und mit einer demokratisch gewählten Stimme auftreten!",alte
@USER es gibt halt leider in jeder Altersgruppe asoziale Mitmenschen.,"alte, alter, asozial, asoziale, sozi"
Sorry ich finde die Diskussion total widersinnig. Wir schaffen es in Deutschland gerade die Zahlen niedrig zu halten während überall in Europa die Zahlen explodieren. Statt froh zu sein das wir nicht in der Lage von Frankreich Spanien und Co. sind schreien alle nach Lockerungen. Wenn wir jetzt lockern sind wir in ein paar Wochen genau in der selben Situation wie die anderen europäischen Länder. Jetzt ist keine Zeit zum Experimentieren gerade in Anbetracht dessen dass wir noch nie einen Winter mit Corona hatten.,"affe, affen, alte, tot"
"Nach Ihrer gestrigen Sendung steigt bei mir die Angst, dass es zu diesem ''Unfall'' kommt, vor allem dieser Mister Weinberg macht mir riesig Angst, er könnte für eine Mehrheit gesprochen haben/sprechen 🤔😔! Wir werden sehen, wie das mit der Gerechtigkeit/ Demokratie in den USA bestellt ist. Gute Gesundheit.","mist, 😔"
"@USER...richtig... die überbevölkerung ist das grösste problem... eine weltweite 1-kind-politik könnte eher helfen, als die co2-verseuchte e-auto-akku-produktion, z.b. ...","verseucht, verseuchte"
"Das Schlimme ist ja, das eben kein Licht am Ende des Tunnels für die jungen Leute zu sehen ist! Was kommt dann? Impfpflicht und dann die Folgeschäden der unsäglichen unnötigen Maßnahmen...",schlimm
"Impfgegner haha,wir haben einfach nur angst um unsere Gesundheit. Ich will nicht durch ne Impfung krank werden in 2 oder 3 Jahren.","haha, krank"
"@USER was genau sind denn die gravierenden Folgen der Erkrankung? Wie viel % der positiv getesteten haben Symptome, wie viele davon schwere, wie viele werden hospitalisiert, wie viele haben Langzeitfolgen (konnte mir das Bundesminsterium für Gesundheit unter Ihrem häufig geposteten Video leider nicht beantworten, da nicht gesichert), wie viele davon sind in welcher Altersklasse Vertretern, wie viele sterben (das ist global gesichert - ca 0,2%, bei unter 70jährigen 0,04%). Wir sehen im Moment sehr viel rote Zahlen und Panikbilder in den Medien, aber oben genannte kompakte Auswertung habe ich bisher noch nicht in der Öffentlichkeit gesehen, leider.","alte, alter, krank, pak"
"@USER die, die sich nicht dranhalten, spalten!",alte
"@USER Ich habe auch bis zum Ende ausgehalten. Das Faszinierende ist für mich, dass Leute mit Bildung auch Trump wählen, obwohl sie es - aus unserer europäischen Sicht - besser wissen müssten. Weinberg war ein gutes Beispiel. Ich bin da einfach fassungslos.",alte
@USER Vollkommener Blödsinn!,"blöd, blödsinn"
"@USER Ja, es wäre so schön, wenn sich Russland unter die zivilisierten Völker Europas einreihen und mit diesen zusammenarbeiten würde. Stattdessen bedroht es seine Nachbarn, betreibt eine wahnwitzige Aufrüstung und möchte aus einem Armenhaus eine Großmacht machen - was schon der Sowjetunion nicht gelungen ist und unter Putin erneut krachend scheitern wird.","armen, witz"
Donald Tramp armer alter Mann!,"alte, alter"
"Bitte macht einmal eine Sendung, in der genau aufgezeigt wird, wie viele infizierte Personen es in Deutschland seit März gegeben hat und wie die Infektion bei den Meisten verlaufen ist. Eine Schwalbe macht noch keinen Sommer. Grippe verläuft auch nicht immer gleich gut oder schlimm. Nein, ich bin kein Coronaleugner, nur diese Angstschürrerei ist nervtötend.","nervt, nervtötend, schlimm, töten"
@USER lesen Sie doch einfach den Ausgangspost von @MEDIUM - das zu tun ist Grundlage von Diskussionen hier auf FB - nicht einfach nur dagegen schießen,schießen
Was heisst dort lassen sollen? Der ist nur nach Deutschland gekommen weil es die Russen so erlaubt haben. Deutschland hatte da garnicht's zu entscheiden.,"olle, ollen"
"Wann laden Sie endlich mal Bürger ein, die sich nicht das grüne Wahlkampf-Paket leisten können?",pak
Ich hoffe ihre Gäste werden Recht behalten und Jo Biden wird Präsident. Noch mal 4 Jahre Trump und der bringt die ganze Welt durcheinander😥,alte
"@USER Einverstanden. Dass die Tests ausreichen, muss plausibel dargestellt sein. Da war ja nur Trump dagegen, was die Pharmafirmen blockierten: Käme Impfen in Verruf, würde sich keiner impfen lassen. Auch und gerade die Hersteller wollen Sicherheit! Politics, Science and the Remarkable Race for a Coronavirus Vaccine https://nyti.ms/3pTBVfE","olle, ollen"
"Bei Herrn Weinberg ist schon ""Sozialist"", wer nur für eine Krankenversicherung für alle Bürger ist.","krank, kranke, sozi"
@USER So ein Unsinn.,unsinn
"Warum müssen „wir“ auf den Anschlag reagieren - sind uns noch nicht einmal alle Fakten bekannt! Reagieren wir bei China, USA, Saudi Arabien, .....? Also warum bei Nawalny? Oder geht es in der Tat nur um NordStream 2? Dann sitzen die Hintermänner wohl nicht im Kreml",sau
Er ist der aller schlimmste Präsident das Amerika je hatte ....,schlimm
"@USER , lächerlich!",lächerlich
Ich wohne auf dem Land. Ich brauche mein Auto. Was passiert mit dem Elektroschrott?,"assi, schrott"
@USER 🤦‍♂️,🤦‍
Warum wird nicht mal pro und contra eingeladen? Immer nur die selbe Leier. Kein Bock drauf. Alle sind der selben Meinung und das soll eine Diskussion werden? Lächerlich.,lächerlich
"Wir bringen die Natur aus dem Gleichgewicht,in dem wir uns für Elektroautos stark machen,nur das wir für den Rohstoff für derenAutobatterien,Grundwasser abpumpen.Was ist an diesen Autos umweltfreundlich?Wir vernichten Natur,welche CO2 speichert und in Sauerstoff umwandelt.Alle Projekte die Natur zerstören müssen noch mal neu überdacht werden.Die A49 ist das beste Beispiel,für rücksichtsloses handeln.Angeblich kann man CO2 in den Boden schießen,wäre aber zu teuer.","sau, schießen, vernichten"
Es würgt mich... habe umgeschaltet..,alte
"Wenn der soziale Frieden gewährleistet ist, wird es auch erfolgreichen Klimaschutz geben. Ich sehe eine neue Elite heranwachsen die im ""Kampf gegen Klimawandel"" ein lukratives Geschäftsmodell sieht und dafür ein Heer von Arbeitslosen in Kauf nimmt.",sozi
"Normalität werden wir so schnell nicht erhalten. Selbst wenn es einen Impfstoff geben sollte, der ""erstmal"" wirkt, ist noch nicht geklärt, wie lange die Impfung immun machen wird. Solche Ergebnisse bekommt man nicht in 6 Wochen. Da braucht man Langzeit-Studien, keine Schnellschüsse.",alte
@USER Schwachsinn!,schwachsinn
"Alles kann Trump ja nicht falsch gemacht haben und immerhin hatte er die Wahl gewonnen. Zumindest hat er gehalten was er versprochen hat was man von unserer Regierung nicht sagen kann. Zumindest versetzt er sein Land nicht in Angst und Schrecken wie es bei uns getan wird. Demokratisch wäre es wenigstens an Trump noch einen guten Fetzen zu lassen aber so ist es in der Politik wohl, einer gönnt dem anderen nichs.",alte
"@USER pardon, aber das Mutterland der Demokratie ist definitiv nicht Amerika, schon garnicht ""first"". Demos und Democracy, die trennen einige 1000 Jahre. Weinberg, der der Republikaner sooo vertritt, hat mit seiner Meinung von 250 Jahren schlicht (auch) nicht recht. Grundkenntnisse der Geschichte, der von Europa, einige Bewohner wanderten aus..",mutter
Lüge bei hart aber fair: Die komische Frau erwähnt die Arbeitsplatzfrage als kritisch. Beschäftigung hat jedoch zugenommen in der #Trump-Ära.,lüge
@MEDIUM das ist Blödsinn. Wir könnten genauso gut Vulkane Sprengen oder selbst Wolken erschaffen und es wäre bitter Kalt...wir haben es in der Hand,"affe, affen, blöd, blödsinn"
"Ich fürchte nur, dass dies die Menschen dennoch nicht aufrütteln wird - da die Klimaopfer bislang nicht in unseren Regionen leb(t)en....",opfer
Ich gönne es Trump wenn er gewinnen sollte. Immerhin macht er mit seinem Auftreten Mut und keine Angst wie es z. Z. in Deutschland geschieht. Jeden Tag die Horrormeldungen und die Betten im Krankenhaus zu sehen ist nicht gut für das Gemüt. Gerade in so einer schweren Zeit braucht man Zuversicht und Mut mit der Krankheit umzugehen und das macht er. Es muss ja weitergehen - man kann doch nicht alles zusperren.,"krank, kranke"
"@USER, ich habe Ihren Beitrag durchaus verstanden und Professor Jonas Schmidt-Chanasit sagt es vollkommen richtig: ""Die Viruslast verringert sich durch frische Luft, weil die Tröpfchenwolken, die sich beim Sprechen, Niesen oder auch einfach beim Atmen bilden, verdünnt werden"". Nur, weil sich die Viruslast verringert, heißt das aber noch lange nicht, dass die Ansteckungsgefahr gebannt ist, insbesondere nicht in Anbetracht der aktuell steigenden Zahlen. Ich gönne Ihnen und jedem Fußballfan das Fußballvergnügen von Herzen, doch allzu sorglos sollte man dabei nicht sein - auch nicht bei einem verhältnismäßig gutem Hygienekonzept.",asi
"Mit unserer europäischen Betrachtungsweise kommen wir nicht weiter. Man wird mir Antiamerikanismus vorwefen, wenn ich die aktuelle Situation in den USA unter historischen Aspekten betrachte. Der derzeitige Präsident forciert einen gewachsenen Antagonismus. Amerika ist ein Land, in welches aus aller Damen und Herren Länder jene weißen Menschen eingewandert sind, die das Gefühl hatten, in ihren Herkunftsländern zu wenig Freiheiten zu haben. Das Freiheitsdenken des Individuums hatte von Beginn der Zuwanderung höhere Priorität als die Solidargemeinschaft. Das daraus resultierende Waffenrecht schuf ""den wilden Westen."" Die wirtschaftliche Entwicklung erfuhr eine große Dynamik, indem man den Ureinwohnern Land- Boden- und Naturschätze wegnahm. Man verdrängte sie in Reservate und nahm die Angebote von Sklavenhändlern gerne an, aus den europäischen Kolonien und freien Ländern Afrikas billige Arbeitskräfte ins Land zu holen. Dass diese Menschen völlig andere Lebensbedingungen vorfanden, dass sie unendliche Mühen hatten, ihren Lebensunterhalt zu sichern, liegt auf der Hand. Sie wurden maßlos diskriminiert und ausgebeutet, was sich bis zum heutigen Tag auswirkt. Je schwieriger die Zeiten und Probleme sich entwickeln, umso größer wird der Drang mancher Freiheitsstatuisten, die Gründe für die eigenen Missgeschicke bei ""wehrlosen Minderheiten"" zu suchen. Da kommt ein Taktgeber, wie wir ihn gerade erleben, gerade recht.","affe, affen, sklave, sklaven, sklavenhändler, wilden"
@USER ich habe lange gesucht. Aber sie haben recht. Das ist die Nachricht hinter der Nachricht. Da habe ich schon vergeblich nach gesucht. Da dürfen wir wieder irgendetwas hinnehmen und dann kommt sofort wieder so eine unsinnige Kampagne gegen das Impfen,unsinn
"Wir sollen alle Photovoltaik besitzen. Jetzt kommt die CO2-Steuer mit der die EEG-Umlage gesenkt werden soll. Also werden die, die etwas für die Umwelt tun bestraft, da Sie weniger Strom verbrauchen und somit weniger entlastet werden. Das ist Politik in Deutschland.","olle, ollen"
"Bevor ich mir von jemanden das Leben erklären lasse, der glaubt man könne als Schüler ""streiken"", schaue ich lieber 1h Testbild😡",😡
@USER die sehen reichsbürger und andere die von 3 Polizisten (ohne Helm)den radikalen Mob vertrieben haben. Ob das gut ist?BILD dir deine Meinung.,"mob, reichsbürger"
"Sie hat Recht und die Kritik ist, mit Blick auf den Stand der Wissenschaft und den Stand der Politik, absolut angebracht. Es passiert nichts. Wir müssen die Gesetze ändern, damit sich die Unternehmen ändern. Von allein machen die das nämlich nur sehr sehr träge.",assi
"@USER Nazis sind Politiker, die Wahlen rückgängig machen","nazi, nazis"
"""Das ist doch Sozialismus""? 🙈 Sollen dann nur noch reiche Menschen in die Universitäten oder zum Arzt dürfen? Darauf läuft es doch dann hinaus.","olle, ollen, sozi"
"Zur Vorbereitung der Impfung gehörte ja erst einmal, dass bekannt wird, wo die Impfstellen sein werden und ab wann ( nach Genehmigung) geimpft werden kann. Noch ist nicht alles geklärt, wenn man schon ins Auge fassen wolle ab Mitte Dezember loszulegen.",olle
"Für mich ist im Hinblick auf's Auto fahren eine Sache noch immer nicht verständlich. Bitte erklärt mir das mal als wäre ich 10 Jahre alt: Jahrelang wurden Menschen ""genötigt"" den Stromverbrauch zu reduzieren. Alle haben ihre Beleuchtungen in LED-Technik verändert, weil man hier Strom sparen kann. Elektrogeräte wurden in A+++ geändert, um Strom zu sparen. Es gab sogar vor Jahren mal eine Rücknahmeprämie für alte Elektrogeräte, wenn man ein A+++ Gerät gekauft hat. Und jetzt soll auf einmal das Auto, dass mit Strom fährt das Non-Plus-Ultra sein? Warum steckt man nicht einfach mal weitere Gelder in die Weiterentwicklung des Wasserstoff-Antriebs? Es gibt so viele Möglichkeiten. Man kann das Auto mit Verbrennermotor nicht in 10 Jahren ""abschaffen"", so viel ist sicher. Es wird auch in 10 Jahren noch Verbrennermotoren geben. Ja, es muss was passieren, ich denke, das haben inzwischen alle kapiert. Was? Dafür habe auch ich keine Antwort, ich bin kein Forscher oder Entwickler. Aber dafür sitzen irgendwo an entsprechenden Stellen Menschen, die für so etwas bezahlt werden. Teilweise auch von Steuergeldern. Dort muss mal angesetzt werden. Für mich persönlich ist das Elektro-Auto keine Lösung. Unser Stromnetz ""auf'm Dorf"" ist schon jetzt überlastet. Lt. Energieversorger bekomme ich auch keinen Anschluss für ein E-Auto an meinem Haus genehmigt. Mag' sein, dass es in der Stadt noch halbwegs geht, aber auf dem Land ist ein E-Auto keine Option.","affe, affen, alte, assi"
"Es wird überall immer wieder viel zu lange diskutiert und Schuld hin und her geschoben. Was in Deutschland passiert ist auf jeden Fall wichtig, Europa ist auch wichtig. Aber es muss sich auch in allen anderen Ländern und Regionen weltweit etwas passieren und ändern, wenn man das weltweite Klima beeinflussen will.",assi
@USER der Weltklimarat erzählt viel wenn der Tag lang ist. Er hat die Aufgabe den menschengemachten Klimawandel zu untersuchen und nichts anderes liefert er. Über natürliche Ursachen des Klimawandels darf er gar nicht forschen und berichten. Lächerlich,lächerlich
"Schlimmste Russlandhetze war die Sendung. Stück für Stück überzieht man Nachbarn, Freunde und Verbündete Russland seit Jahren mit Unruhen , Sanktionen und inneren Einmischungen . Immer natürlich mit dem Argument Menschenrechte :(","hetze, schlimm"
Wie ist das mit der Zwangsabgabe- Rundfunkbeitrag? Zahlt die doch direkt an die Schauspieler und Künstler aus! Dann ist sie sinnvoller eingesetzt!,olle
Entscheidung wurd doch korrigiert. Wo wird hier durchregiert? Zudem musste dann mit Ansage doch aufgelöst werden. Kein Entscheid vom Verfassungsgericht wie bereits erwähnt. Selbst die ganzen Vollidioten die nur geistigen Dünnschiss in die Welt schreien dürfen weiter plappern. Meinungsfreiheit. Also kann noch nix finden was den Eingangspost rechtfertigt!,"dünnschiss, idiot, idioten, schiss, vollidiot, vollidioten"
Lt. kürzlicher Veröffenung im Ärzteblatt übertragen Aerosole doch keine Viren. Warum findet das keine Berücksichtigung ?,bla
"Candice verkörpert das Amerikabild mit dem ich aufgewachsen bin: demokratisch, tolerant, modern und über den Tellerrand hinausblicken. Weinberg dagegen strotzte nur so von populistischen und Gewalt verharmlosenden Argumenten.","populist, rotz, rotzt"
