comment_text,matches_string
"Trump sagt ""america first"" und handelt danach. Deutsche Präsidenten und Kanzler*innen schwören:„Ich schwöre, dass ich meine Kraft dem Wohle des deutschen Volkes widmen, seinen Nutzen mehren, Schaden von ihm wenden, das Grundgesetz und die Gesetze des Bundes wahren und verteidigen, meine Pflichten gewissenhaft erfüllen und Gerechtigkeit gegen jedermann üben werde. So wahr mir Gott helfe.“ haben diese Wort aber schon vergessen, wenn sie den Plenarsaal verlassen. In den letzten 10 Jahren flossen mehr als 100 Mrd. € netto deutsche Steuergelder an die EU nach Corona sollen wieder netto über 90 Mrd. € deutsche Steuergelder an bedürftige Mitgliedsstaaten der EU fließen, ohne dass diese eigene Resourcen angegriffen haben. Z.B. Lastenausgleich.","olle, ollen, schaden, sag, letzte"
"@USER so war es auch in meiner Jugend, nur bin ich mit dem Fahrrad in die Schule gefahren",fahren
@USER Inhaltich in großen Teilen ein guter Kommentar nur..einen Lockdown hattennwir nicht wirklich,halt
"Was interessiert mich Trump , mich interessiert wie ich 2 Sachen aus Deutschland wieder los werde , Corona und Merkel .",deutschland
"@USER falsch. Ein Jahr im Leben eines Menschen ist ein Jahr im Leben eines Menschen. Niemand weiß, wieviel Lebenszeit einem noch bleibt, vielleicht stirbt der 20-jahrige noch vor Ihnen. Ich weiß nicht, woher die älteren Leute die Arroganz nehmen und glauben, ihre Lebenszeit wäre mehr wert als die der jungen Leute. Die jungen Leute trifft es halt nur zu einem früheren Zeitpunkt im Leben.","arroganz, leute, halt"
@USER die Sowjets haben es doch über Jahrzehnte in Deutschland probiert. Der Ausgang des ganzen ist eher traurig für die betroffenen Regionen. Der Fortschritt passierte im Westen. Und den Osten bauen wir seit der Wiedervereinigung auf. Hätten die Russen doch damals ihre tollen Rohstoffe bloß genutzt. ;),"assi, deutschland, olle, doch, ollen, ereinigung"
"#@MEDIUM Bis auf Karl Lauterbach versteht kein Diskussionsteilnehmer die Tücke von Covid19: Die Schnelligkeit des Infektionsgeschehens und die Langsamkeit des Meldegeschehens. Die anderen beziehen sich auf aktuelle Zahlen und wissen nicht, dass diese Zahlen längst veraltet sind. Es ist bedauerlich, dass das Verständnis für die Dynamik eines sich erst mit Verzögerung offenbarenden Infektionsgeschehens so wenig verbreitet ist.","alte, bedauerlich, hehe"
@USER falls es nicht aufgefallen sein sollte. Herr Lauterbach ist nicht für Schulen zuständig. Er hat lediglich die Möglichkeit mobiler Lüftungsanlagen ins Gespräch gebracht. Was ist daran falsch? Wären erneute Schulschließungen lieber? Wohl kaum,mob
"@USER E-Mobilität hört sich gut an, aber es müssen dann auch die Batterien umweltfreundlich entsorgt werden und das funktioniert noch nicht","mob, entsorgt"
"Deutschland befindet sich gerade in Hypnose - im Coronafieber - im Gegenteil zu den USA. Trump zu sehen ist einfach erfrischend, er macht Mut und macht keine Angst wie sie uns jeden Tag eingeflößt wird und wie viel schlimmer alles kommen kann? Vielleicht wird es aber gar nicht so schlimm? Zumindest hat er gehalten was er versprochen hat, das muss man ihm lassen.","deutschland, angst, alten, alte, schlimmer, schlimm, halt"
"Die gravierenden Folgen einer Erkrankung werden verharmlost, die geringen Risiken einer Impfung aufgebauscht. Seltene Nebenwirkungen sehe ich eben erst, wenn ich Millionen geimpft und längere Zeit nachbeobachtet habe. Wie soll das anders gehen?",krank
"@USER ja kann man wenn einem nur das Geld wichtig ist. Dann kann man mit jeden zusammen arbeiten und schaut eben bei Mord auch mal weg, so wie es die CDU tut. Es ist eben die Frage wollen wir das als Gesellschaft auch. Ich sage klar Nein. Gerade als Deutsche sollten wir Moral zu schätzen wissen. Egal in welchem Land 🙄✌️","olle, 🙄, ollen, esel, sag, mord, egal"
Man muss im Bezug Veranstaltung abwägen. Entweder da alles lahmlegen und es wird einige in der Veranstaltungsbranche pleite gehen. Oder hilft man der Veranstaltungsbranche genauso wie der luftfahrt und Autoindustrie? Sonst gibt es in diesen Bereich nächstes Jahr einige Pleiten und arbeitslose. Oder man gibt zumindest Veranstaltungen unter Bedingungen frei. Damit wenigstens einige noch den schaden begrenzen können. Ich erwarte da an Bereich noch ein paar Antworten aus der Politik. Für mich als jemand der im Veranstaltungsbereich arbeitet und momentan auf Kurzarbeit ist.,"schaden, lose"
"@USER , Für Diejenigen, die sich impfen lassen wollen.","olle, ollen"
Sie durfte / konnte leider nicht so viel sagen.. Lag am Weinberg😉.. Hat auch einen super tollen Akzent sehr sympathisch ✌️,"olle, ollen, sag, sympathisch"
"Autos in den Staedten sofort verbieten, ohne wenn und aber. Bedigungsloses Universelles Grundeinkommen einfuehren, wie von Papst Franziskus gefordert. Dann kommen wir schnell der rettung naeher.","paps, lose"
"@USER da haben wir etwas gemeinsam, meine Mutter erzählte mir mal, dass sie das Rezept schon hatte, aber nichts genommen hat 🍀",mutter
Sie ist die Cousine von Louisa Neubauer und Teil (Erben) der Reemtsma Zigarettenfabriken.,cousine
@USER das ist das schöne an der Demokratie jeder darf wählen was er möchte,wählen
"Welche grösste Opposition klein halten? Und ich wette mal, dass sie beim ""niederknüppeln"" von linken Demos kein Problem haben? Und welches Problem haben Sie mit der Wahl in Thüringen?","knüppel, linken, alten, alte, knüppeln, linke, halt"
Komisch nur dass die Mehrheit der Trump Männer sycophants Störenfried sind - um mild zu formulieren.,komisch
@USER wie soll Schwachsinn helfen ?,schwachsinn
@USER - gewonnen? Mit fast 3 Millionen weniger Stimmen? Da lob ich mir doch unser Wahlsystem. One Person - one vote.,doch
@USER😂,😂
https://www.welt.de/gesundheit/article143404030/Narkolepsie-durch-Schweinegrippe-Impfung.html,"schwein, schweine, schweinegrippe"
@USER Bravo👍,bravo
"@USER Über 220000 Tote in den USA sprechen ja wohl für sich ... Ich sehe darin absolut nichts ""erfrischendes"" ...",tot
Stimmt. Die USA ähneln in vielen Dingen viel mehr einer Oligarchie. Das fängt schon beinm Electorial College an.,olle
@USER ich bilde mir meine Meinung durch Fakten und Argumente. Es gibt z.b die App Electricity Map. Dort kann man sehen das Sie hier Blödsinn verbreiten. Gibt auch beim Fraunhofer Institut hervorragende Ausarbeitungen. Aber dafür muss man sich mit dem Thema wirklich auseinander setzen.,"dsinn, blöd, blödsinn, verbreiten."
"Für Europa wird sich nichts ändern, die alten Männer und die Sümpfe hinter ihnen wird die „America First“ Politik fortführen. Europa sollte endlich zusammenrücken und mit einer demokratisch gewählten Stimme auftreten!","alten, alte, auft"
@USER es gibt halt leider in jeder Altersgruppe asoziale Mitmenschen.,"alte, sozia, asoziale, alter, asozial, sozi, halt"
Sorry ich finde die Diskussion total widersinnig. Wir schaffen es in Deutschland gerade die Zahlen niedrig zu halten während überall in Europa die Zahlen explodieren. Statt froh zu sein das wir nicht in der Lage von Frankreich Spanien und Co. sind schreien alle nach Lockerungen. Wenn wir jetzt lockern sind wir in ein paar Wochen genau in der selben Situation wie die anderen europäischen Länder. Jetzt ist keine Zeit zum Experimentieren gerade in Anbetracht dessen dass wir noch nie einen Winter mit Corona hatten.,"affe, schreie, deutschland, alten, alte, affen, tot, tiere, halt"
"Nach Ihrer gestrigen Sendung steigt bei mir die Angst, dass es zu diesem ''Unfall'' kommt, vor allem dieser Mister Weinberg macht mir riesig Angst, er könnte für eine Mehrheit gesprochen haben/sprechen 🤔😔! Wir werden sehen, wie das mit der Gerechtigkeit/ Demokratie in den USA bestellt ist. Gute Gesundheit.","😔, angst, mist"
Wir sollten alle mehr Lamborghini fahren https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/company/pdf/2020/dich_ambientale/LAMBORGHINI_DICHIARAZIONE_AMBIENTALE_2019_INTERNO_ENG_EXE_WEB.pdf,fahren
Klimaschutz ist heutiger Faschismus,faschismus
@USER das ist halt der richtige Name des Landes.,halt
"@USER...richtig... die überbevölkerung ist das grösste problem... eine weltweite 1-kind-politik könnte eher helfen, als die co2-verseuchte e-auto-akku-produktion, z.b. ...","verseuchte, verseucht"
"Das Schlimme ist ja, das eben kein Licht am Ende des Tunnels für die jungen Leute zu sehen ist! Was kommt dann? Impfpflicht und dann die Folgeschäden der unsäglichen unnötigen Maßnahmen...","nahm, leute, schlimm"
"Oje, was hier alles unreflektiert zu lesen ist! Ihr Impfgegner macht euch gar nicht klar, welchen Fortschritt Impfungen bedeuten: auch schon ohne Corona wären viele von euch heute gar nicht mehr am Leben ohne Impfungen, Hygienemaßnahmen und Schulmedizin.",nahm
"Impfgegner haha,wir haben einfach nur angst um unsere Gesundheit. Ich will nicht durch ne Impfung krank werden in 2 oder 3 Jahren.","krank, angst, haha"
"@USER was genau sind denn die gravierenden Folgen der Erkrankung? Wie viel % der positiv getesteten haben Symptome, wie viele davon schwere, wie viele werden hospitalisiert, wie viele haben Langzeitfolgen (konnte mir das Bundesminsterium für Gesundheit unter Ihrem häufig geposteten Video leider nicht beantworten, da nicht gesichert), wie viele davon sind in welcher Altersklasse Vertretern, wie viele sterben (das ist global gesichert - ca 0,2%, bei unter 70jährigen 0,04%). Wir sehen im Moment sehr viel rote Zahlen und Panikbilder in den Medien, aber oben genannte kompakte Auswertung habe ich bisher noch nicht in der Öffentlichkeit gesehen, leider.","pak, medien, krank, alte, alter, panik"
"wenns stimmt, dann find ich das gut. die politische führung sollte versuchen, vertrauen zurückzugewinnen.",vertrauen
"@USER die, die sich nicht dranhalten, spalten!","alten, alte, halt"
"@USER schon erstaunlich wie vielen ihr Kommentar gefällt, obwohl er null Sinn ergibt 😅 Seit wann sind Rauchen, Übergewicht oder Alkohol 'Nebenwirkungen'? Für mich sind das eher Risikofaktoren, wie Rafael Schulz ja auch schon sagte..",sag
"@USER Ich habe auch bis zum Ende ausgehalten. Das Faszinierende ist für mich, dass Leute mit Bildung auch Trump wählen, obwohl sie es - aus unserer europäischen Sicht - besser wissen müssten. Weinberg war ein gutes Beispiel. Ich bin da einfach fassungslos.","wählen, alten, alte, leute, halt"
@USER Vollkommener Blödsinn!,"dsinn, blöd, blödsinn"
Ich hoffe die Demonstrationen in Deutschland gehen auch um die Welt,deutschland
"@USER Ja, es wäre so schön, wenn sich Russland unter die zivilisierten Völker Europas einreihen und mit diesen zusammenarbeiten würde. Stattdessen bedroht es seine Nachbarn, betreibt eine wahnwitzige Aufrüstung und möchte aus einem Armenhaus eine Großmacht machen - was schon der Sowjetunion nicht gelungen ist und unter Putin erneut krachend scheitern wird.","witz, arme, armen, sowjetunion"
Donald Tramp armer alter Mann!,"arme, alte, alter"
Dann erreicht man Neuschwabenland etwas leichter.,enl
"Bitte macht einmal eine Sendung, in der genau aufgezeigt wird, wie viele infizierte Personen es in Deutschland seit März gegeben hat und wie die Infektion bei den Meisten verlaufen ist. Eine Schwalbe macht noch keinen Sommer. Grippe verläuft auch nicht immer gleich gut oder schlimm. Nein, ich bin kein Coronaleugner, nur diese Angstschürrerei ist nervtötend.","deutschland, angst, nervtötend, töte, nervt, töten, schlimm"
@USER lesen Sie doch einfach den Ausgangspost von @MEDIUM - das zu tun ist Grundlage von Diskussionen hier auf FB - nicht einfach nur dagegen schießen,"doch, schieße, schießen"
der muss das sagen sonst würde er gefeuert werden...,sag
Was heisst dort lassen sollen? Der ist nur nach Deutschland gekommen weil es die Russen so erlaubt haben. Deutschland hatte da garnicht's zu entscheiden.,"deutschland, olle, ollen"
"Wann laden Sie endlich mal Bürger ein, die sich nicht das grüne Wahlkampf-Paket leisten können?",pak
Die Wahrheit war schon immer eine Zumutung.,zumutung
Ich hoffe ihre Gäste werden Recht behalten und Jo Biden wird Präsident. Noch mal 4 Jahre Trump und der bringt die ganze Welt durcheinander😥,"alten, alte, halt"
"@USER Einverstanden. Dass die Tests ausreichen, muss plausibel dargestellt sein. Da war ja nur Trump dagegen, was die Pharmafirmen blockierten: Käme Impfen in Verruf, würde sich keiner impfen lassen. Auch und gerade die Hersteller wollen Sicherheit! Politics, Science and the Remarkable Race for a Coronavirus Vaccine https://nyti.ms/3pTBVfE","olle, ollen"
"Bei Herrn Weinberg ist schon ""Sozialist"", wer nur für eine Krankenversicherung für alle Bürger ist.","kranke, krank, sozia, kranken, sozi"
@USER So ein Unsinn.,"unsinn, unsinn."
"Warum müssen „wir“ auf den Anschlag reagieren - sind uns noch nicht einmal alle Fakten bekannt! Reagieren wir bei China, USA, Saudi Arabien, .....? Also warum bei Nawalny? Oder geht es in der Tat nur um NordStream 2? Dann sitzen die Hintermänner wohl nicht im Kreml",sau
"Oh gott, mittlerweile weiß jedes Kind, daß Russland am wenigstens mit der Vergiftung zu tun hat. Und die teure Pipeline still legen ist einfach nur Wahnsinn",wahnsinn
Er ist der aller schlimmste Präsident das Amerika je hatte ....,schlimm
"@USER , lächerlich!",lächerlich
Ich wohne auf dem Land. Ich brauche mein Auto. Was passiert mit dem Elektroschrott?,"assi, schrott"
"80,2 zu 78,6. Ergibt auf/abgerundet ein Jahr Unterschied, so gesehen hat er Recht.",unterschie
@USER Hat doch die USA gefordert vor einigen Wochen. Da gab es die Nawalny-Problematik noch nicht. Gesichtswahrend kann dies nun als Grund herangezogen werden.,doch
@USER 🤦‍♂️,🤦‍
Warum wird nicht mal pro und contra eingeladen? Immer nur die selbe Leier. Kein Bock drauf. Alle sind der selben Meinung und das soll eine Diskussion werden? Lächerlich.,"lächerlich, lächerlich."
"Frau Kerestan hat in jedem Fall gegenüber dem „Auslandsrepublikaner“ eine gute Figur gemacht und gezeigt, dass man offensichtlich bei den Demokraten nicht auf „whataboutism“ zurückgreifen muss, um eine Botschaft zu haben und diese auch zu erklären.",demokraten
"Wir bringen die Natur aus dem Gleichgewicht,in dem wir uns für Elektroautos stark machen,nur das wir für den Rohstoff für derenAutobatterien,Grundwasser abpumpen.Was ist an diesen Autos umweltfreundlich?Wir vernichten Natur,welche CO2 speichert und in Sauerstoff umwandelt.Alle Projekte die Natur zerstören müssen noch mal neu überdacht werden.Die A49 ist das beste Beispiel,für rücksichtsloses handeln.Angeblich kann man CO2 in den Boden schießen,wäre aber zu teuer.","sau, schieße, schießen, vernichten, lose"
Es würgt mich... habe umgeschaltet..,"alte, würgt, halt"
"Wenn der soziale Frieden gewährleistet ist, wird es auch erfolgreichen Klimaschutz geben. Ich sehe eine neue Elite heranwachsen die im ""Kampf gegen Klimawandel"" ein lukratives Geschäftsmodell sieht und dafür ein Heer von Arbeitslosen in Kauf nimmt.","sozia, losen, lose, sozi"
"Normalität werden wir so schnell nicht erhalten. Selbst wenn es einen Impfstoff geben sollte, der ""erstmal"" wirkt, ist noch nicht geklärt, wie lange die Impfung immun machen wird. Solche Ergebnisse bekommt man nicht in 6 Wochen. Da braucht man Langzeit-Studien, keine Schnellschüsse.","alten, -studien, alte, halt"
@USER Schwachsinn!,schwachsinn
"Alles kann Trump ja nicht falsch gemacht haben und immerhin hatte er die Wahl gewonnen. Zumindest hat er gehalten was er versprochen hat was man von unserer Regierung nicht sagen kann. Zumindest versetzt er sein Land nicht in Angst und Schrecken wie es bei uns getan wird. Demokratisch wäre es wenigstens an Trump noch einen guten Fetzen zu lassen aber so ist es in der Politik wohl, einer gönnt dem anderen nichs.","angst, alten, alte, sag, halt"
"Herr Hallervorden hat schon recht, bordelle offen und erlaubt, theater ect. verboten wie soll man dies verstehen und nachvollziehen können? GEnauso ist es nicht nachvollziehbar und verständlich, die Politiker unterhaltén sich über einen 2.ten lookdown und es werden flüchtlinge ohne tests ohne schutzmasken ect. schutzmassnahmen rein geholt . Gibts dafür eine Erklärung von dem Gast Dr. Lauterbach?Wäre sehr wichtig wenn diese Frage beantwortet werden würde, dies fragen sich eine große Menge von Menschen hier im Lande.","nahm, flüchtlinge, flüchtling, halt"
"@USER pardon, aber das Mutterland der Demokratie ist definitiv nicht Amerika, schon garnicht ""first"". Demos und Democracy, die trennen einige 1000 Jahre. Weinberg, der der Republikaner sooo vertritt, hat mit seiner Meinung von 250 Jahren schlicht (auch) nicht recht. Grundkenntnisse der Geschichte, der von Europa, einige Bewohner wanderten aus..","rennen, mutter"
Lüge bei hart aber fair: Die komische Frau erwähnt die Arbeitsplatzfrage als kritisch. Beschäftigung hat jedoch zugenommen in der #Trump-Ära.,"lüge, doch, komische, komisch"
@MEDIUM das ist Blödsinn. Wir könnten genauso gut Vulkane Sprengen oder selbst Wolken erschaffen und es wäre bitter Kalt...wir haben es in der Hand,"affe, dsinn, blöd, blödsinn, affen, blödsinn."
"Natürlich ist Trump ein Kriegspräsident, der Krieg findet doch im eigenen Land statt!",doch
"Ich fürchte nur, dass dies die Menschen dennoch nicht aufrütteln wird - da die Klimaopfer bislang nicht in unseren Regionen leb(t)en....",opfer
